,Symbol,Price
0,AAPL,173.31
1,MSFT,315.26
2,GOOG,2776.26
3,FB,337.75
4,AMZN,3270.85
5,NFLX,554.31
6,TSLA,1055.08
7,DIS,156.04
8,AAPL,173.31
9,MSFT,315.4
10,GOOG,2776.26
11,FB,337.92
12,AMZN,3273.11
13,NFLX,554.98
14,TSLA,1057.81
15,DIS,156.01
16,AAPL,173.26
17,MSFT,315.49
18,GOOG,2780.07
19,FB,338.32
20,AMZN,3271.62
21,NFLX,555.28
22,TSLA,1058.0
23,DIS,155.87
24,AAPL,173.3
25,MSFT,315.14
26,GOOG,2777.85
27,FB,337.92
28,AMZN,3269.5
29,NFLX,554.97
30,TSLA,1055.45
31,DIS,155.83
32,AAPL,173.3
33,MSFT,315.14
34,GOOG,2777.85
35,FB,337.95
36,AMZN,3269.5
37,NFLX,554.97
38,TSLA,1055.45
39,DIS,155.83
40,AAPL,172.09
41,MSFT,313.1
42,GOOG,2754.88
43,FB,332.85
44,AMZN,3261.1
45,NFLX,552.41
46,TSLA,1069.61
47,DIS,156.96
48,AAPL,171.94
49,MSFT,313.79
50,GOOG,2749.44
51,FB,332.34
52,AMZN,3262.08
53,NFLX,552.81
54,TSLA,1064.06
55,DIS,156.96
56,AAPL,172.11
57,MSFT,314.75
58,GOOG,2754.99
59,FB,333.99
60,AMZN,3270.46
61,NFLX,553.32
62,TSLA,1065.0
63,DIS,156.91
64,AAPL,172.11
65,MSFT,314.75
66,GOOG,2754.99
67,FB,333.99
68,AMZN,3270.46
69,NFLX,553.32
70,TSLA,1065.0
71,DIS,156.91
72,AAPL,172.11
73,MSFT,314.75
74,GOOG,2754.99
75,FB,333.99
76,AMZN,3270.46
77,NFLX,553.32
78,TSLA,1065.0
79,DIS,156.91
80,AAPL,172.11
81,MSFT,314.75
82,GOOG,2754.99
83,FB,333.99
84,AMZN,3270.46
85,NFLX,553.32
86,TSLA,1065.0
87,DIS,156.91
88,AAPL,172.11
89,MSFT,314.75
90,GOOG,2754.99
91,FB,333.99
92,AMZN,3270.46
93,NFLX,553.32
94,TSLA,1065.0
95,DIS,156.91
96,AAPL,172.26
97,MSFT,314.75
98,GOOG,2754.99
99,FB,333.99
100,AAPL,100 API Calls exceeded
101,MSFT,100 API Calls exceeded
102,GOOG,100 API Calls exceeded
103,FB,100 API Calls exceeded
104,AMZN,100 API Calls exceeded
105,NFLX,100 API Calls exceeded
106,TSLA,100 API Calls exceeded
107,DIS,100 API Calls exceeded
